Event ID,Event Name,Event Size,Day,Timeslot,Duration,Original Room,Original Campus,New Room,New Room Capacity,New Campus,Capacity Waste,Tiered Waste,Original Room Type,New Room Type,Room Type Match
E:BS4POFFSGS,Design & Screen Cultures 4 - Feedback Lecture/01,10,Tuesday,Tuesday 10:00,50,0551_00_G32,Holyrood,0228_09_9.01,16,Central,6,0,Classroom Style,Classroom Style,1
E:NSC5F7NYL3,Language and the Learner - (LE) Workshop/14,25,Wednesday,Wednesday 09:00,110,0551_01_1.27,Holyrood,0201_00_G.07,194,Central,169,149,Boardroom Style,Lecture Theatre,0
E:9N9OM1Q1BW-00001,Professional Skills in Development Environments - Tutorial/01,25,Monday,Monday 11:00,50,0555_02_2.1,Holyrood,0001_00_G.158,30,Central,5,0,Boardroom Style,Boardroom Style,1
E:4S42CUHBCK,Sport Industry in a Global Context - Seminar/01	,18,Thursday,Thursday 11:00,50,0564_03_3.16,Holyrood,0226_01_1.07,48,Central,30,10,Classroom Style,Specialist Room,0
E:ZPKA2N4GB8,Art Practice 4 - Lecture,100,Thursday,Thursday 11:00,50,0551_00_G1,Holyrood,0201_01_1.08,307,Central,207,187,Classroom Style,Lecture Theatre,0
E:73SOD6FWAC,Design & Screen Cultures 4 - Feedback Lecture/05,10,Tuesday,Tuesday 11:00,50,0551_00_G33,Holyrood,0113_01M_01M.474,10,Central,0,0,Classroom Style,Classroom Style,1
E:78RHIETK3V,Design & Screen Cultures 4 - Feedback Lecture/04,10,Tuesday,Tuesday 11:00,50,0551_00_G30,Holyrood,0003_00_G.03,18,Central,8,0,Classroom Style,Classroom Style,1
E:SMH9N5GZHG,SOK/Yifang2,20,Monday,Monday 16:00,80,0558_05_5.3,Holyrood,0228_06_6.11,24,Central,4,0,Classroom Style,Classroom Style,1
E:3SXQXSW92N,Language Testing - Workshop/03,20,Monday,Monday 15:00,50,0564_03_3.15,Holyrood,0219_00_G.02,24,Central,4,0,Classroom Style,Classroom Style,1
E:VMKLU5BXIH,LfA - German Beginners Step 1,14,Wednesday,Wednesday 19:00,90,0551_-1M_M2,Holyrood,0227_02_2.03,18,Central,4,0,Boardroom Style,Boardroom Style,1
E:TNGCVGGQN7,Second Language Teaching Curriculum - Workshop/06	,25,Monday,Monday 11:00,110,0551_01_1.18,Holyrood,0251_01_1.01,28,Central,3,0,Classroom Style,Classroom Style,1
E:Z1WYQMYZCU,Sport Marketing and Communications - Workshop/06,15,Tuesday,Tuesday 10:00,50,0558_05_5.11,Holyrood,0283_01_1.17,26,Central,11,0,Classroom Style,Classroom Style,1
E:PK5D76D2XE-00002,Dimensions of Teaching - Workshop/03,30,Thursday,Thursday 10:00,120,0551_01_1.19,Holyrood,0335_01_1.2,44,Central,14,0,Classroom Style,Classroom Style,1
E:JB56MADPQ5-00005,Dimensions of Teaching - Workshop/02,30,Wednesday,Wednesday 14:00,110,0558_04_4.18,Holyrood,0335_01_1.9,32,Central,2,0,Classroom Style,Classroom Style,1
E:2PZVB592SS,Understanding Research Concepts - Tutorial/03,25,Thursday,Thursday 15:00,50,0555_02_2.1,Holyrood,0226_01_1.07,48,Central,23,3,Boardroom Style,Specialist Room,0
E:IFCJTX78DO-00001,C&P - Tutorial/Languages,10,Wednesday,Wednesday 13:00,170,0558_02_2.2,Holyrood,0401_01_1.08,12,New College,2,0,Boardroom Style,Boardroom Style,1
E:F38LUHZYDD-00001,Sport and Recreation Management (Dissertation) 4 - Workshop,37,Tuesday,Tuesday 14:00,80,0558_04_4.20,Holyrood,0335_02_2.2,44,Central,7,0,Classroom Style,Classroom Style,1
E:FE1FLF3V4D,Child and Adolescent Development - Lecture,75,Wednesday,Wednesday 09:00,50,0551_00_G1,Holyrood,0228_-1_LG.09,96,Central,21,1,Classroom Style,Lecture Theatre,0
E:8MZOABQJT9-00001,Dimensions of Teaching - Workshop/02,30,Wednesday,Wednesday 10:00,120,0558_04_4.4,Holyrood,0201_00_G.06,193,Central,163,143,Classroom Style,Lecture Theatre,0
E:3GQCUB17T1,Global Childhoods and Human Rights - Workshop,30,Monday,Monday 14:00,110,0558_04_4.20,Holyrood,0450_02_2.55,68,Central,38,18,Classroom Style,Specialist Room,0
E:MMBF2IPULD,SOK/Mariel2 ,20,Monday,Monday 11:30,90,0551_00_G37,Holyrood,0112_-1_B.06,25,Central,5,0,Classroom Style,Classroom Style,1
E:SGTV68O5BV-00001,Sport Science: Research Attachment 4 - Tutorial,10,Tuesday,Tuesday 14:00,50,0564_03_3.25,Holyrood,0214_01_1.22,12,Central,2,0,Boardroom Style,Boardroom Style,1
E:SGTV68O5BV,Sport Science: Research Attachment 4 - Tutorial,10,Monday,Monday 14:00,50,0564_03_3.25,Holyrood,0227_02_2.54,18,Central,8,0,Boardroom Style,Boardroom Style,1
E:TWUSXXTR6T,Sport Management Advanced Research Methods - Lecture,40,Thursday,Thursday 10:00,180,0551_01_1.21,Holyrood,0201_01_1.06,300,Central,260,240,Classroom Style,Lecture Theatre,0
E:MSUK4JX5NC,CR/Omar2,20,Monday,Monday 11:30,90,0564_03_3.25,Holyrood,0001_01_1.265,22,Central,2,0,Boardroom Style,Boardroom Style,1
E:KZKM2X7529,Online Language Learning - Workshop/02,20,Thursday,Thursday 11:00,110,0551_01_1.37,Holyrood,0228_11_11.10,36,Central,16,0,Classroom Style,Classroom Style,1
E:QL3SA6ZK8H,Special Topics in Sport Psychology 4 - Seminar,30,Friday,Friday 10:00,120,0551_01_1.19,Holyrood,0001_00_G.159,108,Central,78,58,Classroom Style,Classroom Style,1
E:EMX6RMO57H,Applied Policy Analysis - Lecture and Discussion Workshop,20,Monday,Monday 14:00,110,0551_00_G37,Holyrood,0219_00_G.02,24,Central,4,0,Classroom Style,Classroom Style,1
E:2YZOKJZ5SA,Teaching Texts across Borders - Workshop/01,20,Friday,Friday 11:00,110,0558_05_5.2,Holyrood,0313_00_G.10,36,Central,16,0,Classroom Style,Classroom Style,1
E:385N28VUKK,Second Language Teaching Curriculum - Workshop/07	,25,Monday,Monday 16:00,110,0555_01_1.15,Holyrood,0228_11_11.10,36,Central,11,0,Classroom Style,Classroom Style,1
E:HAXYH68BKY,Environmental Physiology 4 - Tutorial,30,Tuesday,Tuesday 09:00,90,0564_02_2.14,Holyrood,0335_04_4.2,32,Central,2,0,Classroom Style,Classroom Style,1
E:RRQWPA5CUB,Community-Based Research 2: Understanding Organisations - Lecture,20,Wednesday,Wednesday 10:00,50,0558_04_4.02,Holyrood,0228_11_11.10,36,Central,16,0,Classroom Style,Classroom Style,1
E:LC3ZXPIIMN,ASL - Lecture/Workshop,20,Thursday,Thursday 14:00,170,0555_02_2.1,Holyrood,0228_06_6.11,24,Central,4,0,Boardroom Style,Classroom Style,0
E:T58IAI9YXZ,The Philosophy of Education Workshop/08,17,Thursday,Thursday 14:00,50,0553_04_422,Holyrood,0401_01M_01M.19,38,New College,21,1,Boardroom Style,Boardroom Style,1
E:XU5A54NYMI,TPBIE - Lecture/Workshop,5,Monday,Monday 13:00,200,0558_02_2.2,Holyrood,0113_00_G.199,8,Central,3,0,Boardroom Style,Boardroom Style,1
E:65GFAC1Y9T,Education Policy and the Politics of Education Workshop/09,20,Friday,Friday 11:00,50,0558_04_4.4,Holyrood,0003_01_1.03,24,Central,4,0,Classroom Style,Classroom Style,1
E:S17HXBJZSF,Educational Studies 3: Teaching for Social Justice - Workshop 1/Group B,22,Tuesday,Tuesday 10:00,120,0564_00_G4,Holyrood,0228_06_6.11,24,Central,2,0,Classroom Style,Classroom Style,1
E:X2OQXDRU96,Health and Wellbeing 1 - Course Seminar Group/02,25,Friday,Friday 10:00,120,0564_03_3.24,Holyrood,0450_02_2.55,68,Central,43,23,Classroom Style,Specialist Room,0
E:CDDUFSDPWH-00003,PECP3: National Awards - Seminar/C,28,Wednesday,Wednesday 11:00,110,0564_00_G4,Holyrood,0201_01_1.06,300,Central,272,252,Classroom Style,Lecture Theatre,0
E:OGMTQZFYRI,Pedagogies - Workshop/01,30,Tuesday,Tuesday 14:00,110,0558_03_3.4,Holyrood,0228_11_11.10,36,Central,6,0,Classroom Style,Classroom Style,1
E:DZUTVTH3LY-00001,Childhood Studies Work Based Learning 2: Organisational Development Lecture,55,Tuesday,Tuesday 16:30,120,0551_00_G43,Holyrood,0401_01_1.01,84,New College,29,9,Classroom Style,Classroom Style,1
E:XYX6CMSC4B,Research Process - In-person seminar,70,Monday,Monday 15:00,110,0555_00_G.1,Holyrood,0401_01_1.01,84,New College,14,0,Classroom Style,Classroom Style,1
E:W52NVNDAD2,Sport and Technology - Lecture,18,Thursday,Thursday 10:00,50,0558_05_5.4,Holyrood,0228_06_6.11,24,Central,6,0,Classroom Style,Classroom Style,1
E:GEJ14ZF9QP,Sports Development - Lecture,40,Tuesday,Tuesday 14:00,50,0558_05_5.2,Holyrood,0103_03_3.D02,40,Central,0,0,Classroom Style,Classroom Style,1
E:L95YH4FN3I-00004,Sport Science (Project) 3 - Workshop/05,10,Thursday,Thursday 12:00,50,0591_-1_B1.05,Holyrood,0214_00_G.23,10,Central,0,0,Boardroom Style,Boardroom Style,1
E:RYX92XHPX8,Sports Development - Seminar/02,20,Monday,Monday 14:00,50,0564_03_3.15,Holyrood,0335_03_3.1,25,Central,5,0,Classroom Style,Classroom Style,1
E:XY3FBSLPRN-00001,Professional Skills in Development Environments - Tutorial/02,25,Monday,Monday 13:00,50,0558_05_5.3,Holyrood,0113_01_1.434,28,Central,3,0,Classroom Style,Classroom Style,1
E:PP7VRE2JT4-00001,Making and Conceptualising Curriculum - Workshop/02,30,Monday,Monday 14:00,110,0558_05_5.2,Holyrood,0335_03_3.2,40,Central,10,0,Classroom Style,Classroom Style,1
E:V8RRBU7X2G,PECP1 - YR1 - Disability Inclusion Training/D,22,Thursday,Thursday 09:00,150,0558_04_4.4,Holyrood,0228_06_6.11,24,Central,2,0,Classroom Style,Classroom Style,1
E:LOD6CLT388-00001,Weekly Writing Retreat – MSc. Performance Psychology,15,Thursday,Thursday 10:00,120,0564_02_2.14,Holyrood,0228_06_6.11,24,Central,9,0,Classroom Style,Classroom Style,1
E:ZKLDBY4OPO,PECP2: The Early Secondary Years - Seminar/A,25,Thursday,Thursday 11:30,60,0558_03_3.13,Holyrood,0201_00_G.07,194,Central,169,149,Classroom Style,Lecture Theatre,0
E:XY71EN7J2M-00001,PECP2: The Early Secondary Years - Seminar/B,25,Monday,Monday 14:00,50,0551_01_1.27,Holyrood,0113_01M_01M.469,40,Central,15,0,Boardroom Style,Classroom Style,0
E:3IWYA9UJIN,Sport Resource Management - Workshop/02,19,Tuesday,Tuesday 12:00,50,0558_04_4.18,Holyrood,0003_00_G.01,20,Central,1,0,Classroom Style,Classroom Style,1
E:H67ZNWOGWZ-00004,PGDE Secondary - Professional Studies Tutorial/05,30,Thursday,Thursday 14:00,110,0551_01_1.21,Holyrood,0201_00_G.06,193,Central,163,143,Classroom Style,Lecture Theatre,0
E:6ZIM55HFRL,Second Language Teaching Curriculum - Workshop/09	,25,Monday,Monday 16:00,110,0551_01_1.27,Holyrood,0335_02_2.2,44,Central,19,0,Boardroom Style,Classroom Style,0
E:ITK4VI6FJR,"Sport, Education and Social Justice - Practical",18,Thursday,Thursday 12:00,50,0558_05_5.3,Holyrood,0251_01_1.01,28,Central,10,0,Classroom Style,Classroom Style,1
E:4NYCKRYM23,"Sport, Education and Social Justice - Practical",18,Thursday,Thursday 13:00,50,0558_05_5.3,Holyrood,0251_01_1.01,28,Central,10,0,Classroom Style,Classroom Style,1
E:I2XBIZRX7S,"Sport, Tourism, and Heritage - Lecture",36,Monday,Monday 14:00,80,0558_05_5.2,Holyrood,0335_00_G.13,48,Central,12,0,Classroom Style,Classroom Style,1
E:D5IEITO3BH,MSc TESOL Programme Tutorials/Class Meetings,225,Wednesday,Wednesday 15:00,50,0555_00_G.1,Holyrood,0229_01_1.B,250,Central,25,0,Classroom Style,Lecture Theatre,0
E:ZS12WQVQJO,ISPEHS Academic Language and Literacies 24-25 - Workshop/04,15,Thursday,Thursday 10:00,90,0591_-1_B1.09,Holyrood,0110_02_2.02,15,Central,0,0,Boardroom Style,Boardroom Style,1
E:8K9GNI3J7K,Education for All - Discussion Workshop,25,Monday,Monday 13:00,110,0551_01_1.18,Holyrood,0110_02_2.01,25,Central,0,0,Classroom Style,Classroom Style,1
E:JP4EK67PA1,"Languages, Society And Education - Workshop/03	",25,Wednesday,Wednesday 11:00,110,0558_05_5.11,Holyrood,0335_05_5.1,25,Central,0,0,Classroom Style,Classroom Style,1
E:RA5LMTZF4I-00001,Curriculum Plus 2 - Tutorial/Philosophy with Young People,15,Friday,Friday 14:00,120,0558_02_2.2,Holyrood,0008_00_G.252,16,Central,1,0,Boardroom Style,Boardroom Style,1
E:2T9NUM29F9,Sport Science 2A: Biochemistry of Exercise & Skill Acquisition - Presentation/04	,5,Thursday,Thursday 13:30,30,0591_-1_B1.04,Holyrood,0401_01_1.09,10,New College,5,0,Boardroom Style,Boardroom Style,1
E:Q5LLCBC9QW,Sport Science 2A: Biochemistry of Exercise & Skill Acquisition - Presentation/03	,5,Thursday,Thursday 13:00,30,0591_-1_B1.04,Holyrood,0401_01_1.09,10,New College,5,0,Boardroom Style,Boardroom Style,1
E:6FE6TUGPCM,Pedagogies - Workshop/02,30,Tuesday,Tuesday 14:00,110,0558_05_5.11,Holyrood,0300_00_NG.01,36,Central,6,0,Classroom Style,Classroom Style,1
E:2RINJ7KFV8-00001,PECP 1 - Lecture,90,Tuesday,Tuesday 10:00,50,0551_-1_LG34,Holyrood,0201_01_1.06,300,Central,210,190,Lecture Theatre,Lecture Theatre,1
E:KPDZ1P35GO-00010,PECP4 - Lecture,100,Monday,Monday 12:00,50,0555_00_G.1,Holyrood,0450_02_2.35,128,Central,28,8,Classroom Style,Classroom Style,1
E:4SAHVIJVD9-00001,Session Two: Saturday 23rd November 2024,20,Saturday,Saturday 09:30,240,0551_01_1.18,Holyrood,0401_01_1.07,32,New College,12,0,Classroom Style,Classroom Style,1
E:HZJ5BN6FF4,Community-Based Research 4: Honours Research Workshops - Lecture and Discussion Workshop,20,Tuesday,Tuesday 09:30,210,0551_01_1.18,Holyrood,0113_00_G.15,29,Central,9,0,Classroom Style,Classroom Style,1
E:94W79XL6B9-00013,PECP4 - Seminar/A&B	,50,Monday,Monday 13:00,170,0558_02_2.3,Holyrood,0422_J_J.03,60,Central,10,0,Classroom Style,Classroom Style,1
E:R8V2XHQSOR-00002,Professional Development and Leadership in Dance Teaching in the Community (PDLDT-C) Self-care Workshop 3,10,Monday,Monday 09:00,110,0558_02_2.2,Holyrood,0401_01_1.08,12,New College,2,0,Boardroom Style,Boardroom Style,1
E:KQ8JEJUJZR,Sport Science 2A: Biochemistry of Exercise & Skill Acquisition - Presentation/02	,5,Thursday,Thursday 12:30,30,0591_-1_B1.04,Holyrood,0401_01_1.09,10,New College,5,0,Boardroom Style,Boardroom Style,1
E:JXTR8BA7VH,Sport Science 1B: Biomechanics & Sport Psychology - Tutorial/E,20,Friday,Friday 15:00,50,0558_04_4.02,Holyrood,0008_00_G.251,24,Central,4,0,Classroom Style,Classroom Style,1
E:H4FN6ONXP6,TESOL Methodology - Workshop/07,25,Thursday,Thursday 10:00,120,0558_03_3.4,Holyrood,0201_02_2.11,28,Central,3,0,Classroom Style,Classroom Style,1
E:DA8G82DAM3-00001,The Nature of Enquiry - Lecture,25,Tuesday,Tuesday 10:00,120,0551_01_1.21,Holyrood,0201_02_2.11,28,Central,3,0,Classroom Style,Classroom Style,1
E:VRMZV7GCGS-00013,PECP4 - Seminar/C&D,50,Monday,Monday 13:00,170,0551_00_G42,Holyrood,0335_04_4.3,60,Central,10,0,Classroom Style,Classroom Style,1
E:169O83B3BS,Sport Science 2B: Kinesiology & Sport Psychology - Sport Psychology Tutorial/02,32,Friday,Friday 16:00,50,0558_03_3.4,Holyrood,0214_00_G.02,40,Central,8,0,Classroom Style,Classroom Style,1
E:CWTT656P5H,Dynamics of Performance Teams - Tutorial/02,25,Tuesday,Tuesday 13:00,50,0553_04_422,Holyrood,0401_01M_01M.19,38,New College,13,0,Boardroom Style,Boardroom Style,1
E:KXDTKZ3D73,LfA - General English Intermediate Step 5,14,Tuesday,Tuesday 17:30,90,0551_-1_LG47,Holyrood,0103_01_1.B19,20,Central,6,0,Boardroom Style,Boardroom Style,1
E:L95YH4FN3I-00005,Sport Science (Project) 3 - Workshop/06,10,Thursday,Thursday 12:00,50,0591_-1_B1.06,Holyrood,0008_02_2.365,16,Central,6,0,Boardroom Style,Boardroom Style,1
