AnonID,Programme,HolyroodGTEvents,TotalEvents,TransitionRecords
Student00218,Applied Sport Science (BSc Hons) (Year 4),2,2,2
Student00221,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,100,3
Student00222,Earth Observation and Geoinformation Management (MSc) - 2 Years (Part-time) (Year 2),1,7,1
Student00224,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student00227,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,101,2
Student00229,Professional Legal Practice (PgDip) (Part-time) (Year 1),2,71,2
Student00232,Secondary Education PGDE (Design and Technology) (Year 1),9,14,29
Student00233,Primary Education PGDE (Year 1),96,146,119
Student00235,Counselling (MCouns) (Part-time) - 4 years (Year 3),6,7,20
Student00236,"Energy, Society and Sustainability (MSc) - 1 Year (Full-time) (Year 1)",2,19,4
Student00241,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,24,6
Student00243,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,99,2
Student00249,Medicine (Pre-Clinical) (MBChB) (Year 1),1,197,2
Student00253,Secondary Education PGDE (Biology) (Year 1),8,24,25
Student00258,Counselling (MCouns) (Part-time) - 4 years (Year 5),1,9,10
Student00265,Counselling (MCouns) (Part-time) - 4 years (Year 3),6,7,20
Student00269,Learning in Communities MA (Hons) (Year 4),4,5,33
Student00274,Counselling (PgDip) - 3 Years (Part-time) (Year 3),7,8,20
Student00276,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,100,2
Student00277,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,99,3
Student00279,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,96,2
Student00283,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,101,3
Student00285,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 1),4,8,4
Student00288,Inclusive Education (Deaf Learners) (PgDip) - 2 Years (Part-time) (Year 2),13,16,13
Student00295,Primary Education PGDE (Year 1),96,144,117
Student00296,Childhood Practice (BA Ord) (Year 2),20,20,58
Student00300,Learning in Communities MA (Hons) (Year 3),9,10,57
Student00308,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),2,23,6
Student00312,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00315,Global Strategy and Sustainability (MSc) - 1 Year (Full-time) (Year 1),2,41,2
Student00317,Secondary Education PGDE (Chemistry and Biology) (Year 1),10,34,28
Student00338,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,25,6
Student00339,Medicine (Pre-Clinical) (MBChB) (Year 1),1,199,2
Student00344,Counselling (Interpersonal Dialogue) (MCouns) (Full-time) - 2 years (Year 1),11,17,25
Student00345,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,105,3
Student00348,Counselling (PgDip) - 3 Years (Part-time) (Year 4),7,8,21
Student00353,"Informatics: ANC: Machine Learning, Computational Neuroscience, Computational Biology (PhD) (Full-time) (Year 3)",6,6,44
Student00359,Secondary Education PGDE (French) (Year 1),16,18,54
Student00362,Inclusive Education (Deaf Learners) (PgDip) - 2 Years (Part-time) (Year 1),17,20,28
Student00363,Law (LLB Ord) (Graduate Entry) (Year 2),3,54,6
Student00364,Secondary Education PGDE (English) (Year 1),16,16,81
Student00365,Primary Education PGDE (Year 1),96,144,117
Student00366,Secondary Education PGDE (Drama) (Year 1),10,18,32
Student00368,Secondary Education PGDE (English) (Year 1),15,16,77
Student00369,Physical Education MA (Hons) (Year 4),29,33,29
Student00374,Secondary Education PGDE (Maths and Physics) (Year 1),8,23,17
Student00376,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,97,3
Student00377,Secondary Education PGDE (History) (Year 1),16,17,60
Student00380,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 3),1,5,1
Student00382,Secondary Education PGDE (Music) (Year 1),7,15,16
Student00383,"Transformative Learning and Teaching (Nursery - S3, Generalist) (MSc) - 21 Months (Year 2)",13,14,56
Student00384,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00391,Childhood Practice (BA Ord) (Year 4),5,5,46
Student00393,Health in Social Science MA(Hons) - 4 Years (Full-Time (Year 4),1,8,3
Student00395,"Access Programme (College of Arts, Humanities and Social Science) (ICL) - 1 Year (Year 1)",5,5,36
Student00405,Health in Social Science (PHD) (Year 2),6,11,6
Student00408,"Transformative Learning and Teaching (Nursery - S3, Generalist) (MSc) - 21 Months (Year 2)",13,14,55
Student00410,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,25,6
Student00412,Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 2),8,10,31
Student00413,Inclusive Education (Visually Impaired Learners) (ICL) 2 - 4 years (Year 1),5,5,5
Student00414,Law Society Registration - Full Year (Part-time) (Year 1),2,11,4
Student00416,"Intermediality: Literature, Film and the Arts in Dialogue (MSc) - 1 Year (Full-Time) (Year 1)",1,16,3
Student00417,Inclusive Education (MSc) - 1 Year (Full-time) (Year 1),3,5,10
Student00418,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 8),3,3,3
Student00440,Physics (PhD) (Full-time) (Year 3),4,4,44
Student00449,Architecture (MA Hons) (Year 4),2,3,4
Student00450,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student00454,Education (PhD) (Full-time) (Year 1),6,6,30
Student00455,Primary Education PGDE (Year 1),96,146,119
Student00457,Secondary Education PGDE (History) (Year 1),15,17,51
Student00458,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,25,6
Student00459,Inclusive Education (Deaf Learners) (ICL) (PgDip) 1 - 4 years (Year 1),3,3,3
Student00460,Secondary Education PGDE (French) (Year 1),16,16,78
Student00462,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student00463,Language and Intercultural Communication (MSc) - 1 Year (Full-time) (Year 1),18,27,103
Student00469,Sociology and Global Change (MSc) (Full-time) (Year 1),2,15,6
Student00471,Primary Education PGDE (Year 1),96,146,119
Student00479,Secondary Education PGDE (English) (Year 1),15,16,77
Student00480,Primary Education PGDE (Year 1),96,146,119
Student00481,Secondary Education PGDE (German and Spanish) (Year 1),16,17,88
Student00482,"Transformative Learning and Teaching (Nursery - S3, Generalist) (MSc) - 21 Months (Year 2)",13,14,56
Student00483,Primary Education PGDE (Year 1),96,144,117
Student00487,Secondary Education PGDE (History) (Year 1),17,17,64
Student00493,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,100,3
Student00497,Nursing (BN) (Year 4),4,20,7
Student00498,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,99,2
Student00502,Primary Education PGDE (Year 1),96,146,119
Student00503,Strength and Conditioning (MSc)  - 1 Year (Full-time) (Year 1),20,21,64
Student00505,Secondary Education PGDE (English) (Year 1),17,17,79
Student00507,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),2,23,6
Student00508,Social Anthropology (MSc) (Full-time) (Year 1),1,18,11
Student00509,Psychology and Linguistics (MA Hons) (Year 4),1,10,11
Student00514,Primary Education PGDE (Year 1),98,146,120
