AnonID,Programme,HolyroodGTEvents,TotalEvents,TransitionRecords
Student03604,Intermedia Art BA (Hons) (Year 4),1,31,1
Student03606,Applied Sport Science (BSc Hons) (Year 3),31,57,194
Student03612,Fine Art (MA Hons) (Year 5),2,20,2
Student03613,"Arts, Humanities and Social Science (BA) (AHSS) (PPL) - (Full-time) (Year 3)",1,17,11
Student03614,Secondary Education PGDE (Music) (Year 1),8,15,25
Student03615,Inclusive Education (Deaf Learners) (PgDip) - 2 Years (Part-time) (Year 3),7,10,7
Student03616,Applied Sport Science (BSc Hons) (Year 4),9,10,50
Student03617,Dance Science and Education (MSc) (Full-time) (Year 1),69,103,81
Student03648,Architecture (BA) (Year 3),1,18,1
Student03649,International Relations (MA Hons) (Year 4),2,9,11
Student03661,Economics (MSc) (Full-time) (Year 1),5,69,5
Student03667,"Global Premodern Art: History, Heritage and Curation (MSc) - 1 Year (Full-Time) (Year 1)",1,12,10
Student03671,Classics (MSc) (Full-time) (Year 1),1,18,1
Student03672,Music (BMus) (Year 2),1,17,11
Student03673,International Development (MSc) (Full-time) (Year 1),2,17,6
Student03675,Japanese (MA Hons) (Year 4),1,20,10
Student03686,Sustainable Development MA (Hons) (Year 2),2,23,7
Student03689,MA (Hons) in Primary Education with Gaelic (Learners) (Year 5),7,11,50
Student03694,Education Studies (BA Ord) (Full-time) (Year 3),12,20,52
Student03703,Neuroscience BSc (Hons) (Year 4),1,31,1
Student03716,Law (LLB Hons) (Year 2),3,41,6
Student03724,Professional Legal Practice (PgDip) (Part-time) (Year 1),1,73,1
Student03734,Painting BA (Hons) (Year 4),1,31,1
Student03747,Biomedical Sciences BSc (Hons) (Year 4),1,23,1
Student03758,Fine Art (MA Hons) (Year 5),2,20,2
Student03761,Business with Marketing MA (Hons) (Year 4),3,23,10
Student03772,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student03779,Biomedical Sciences BSc (Hons) (Year 4),2,24,2
Student03786,Psychotherapy and Counselling (DPsych) - 7 Years (Part-time) (Year 4),1,4,10
Student03789,Translation Studies (MSc) (Full-time) (Year 1),1,20,10
Student03795,Global Health Policy (MSc) - 1 Year (Year 1),1,25,11
Student03799,Performance Psychology (ICL) (MSc) - 2-6 Years (Year 2),7,8,43
Student03806,Social Anthropology (MA Hons) (Year 3),2,18,22
Student03810,Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 4),1,8,11
Student03812,Sculpture BA (Hons) (Year 4),1,31,1
Student03815,Learning in Communities MA (Hons) (Year 4),4,5,33
Student03818,Architecture (BA) (Year 3),1,18,1
Student03824,Social Anthropology (MA Hons) (Year 3),1,17,11
Student03826,Health in Social Science MA(Hons) - 4 Years (Full-Time (Year 4),1,9,3
Student03827,Learning in Communities MA (Hons) (Year 2),12,12,68
Student03836,Sculpture BA (Hons) (Year 4),1,31,1
Student03844,Social Policy and Politics (MA Hons) (Year 4),1,7,10
Student03846,Business with Marketing MA (Hons) (Year 4),3,20,10
Student03847,Graphic Design (MA (eca)) (Year 1),1,31,1
Student03849,Social Anthropology (MA Hons) (Year 4),1,8,11
Student03853,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 5),3,3,3
Student03863,Economics with Finance (MA Hons) (Year 2),1,28,1
Student03874,"Government, Policy and Society MA(Hons) (Year 4)",1,12,3
Student03876,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student03877,Sociology and Social Anthropology (MA Hons) (Year 3),1,15,11
Student03888,Business Management MA (Hons) (Year 4),2,13,10
Student03892,Law (LLB Hons) (Year 2),2,21,4
Student03903,"Health, Science and Society MA(Hons) (Year 4)",3,18,11
Student03908,Counselling (MCouns) (Part-time) - 4 years (Year 4),1,9,10
Student03919,Architecture (MA Hons) (Year 4),2,16,4
Student03922,Counselling (PgDip) - 3 Years (Part-time) (Year 3),6,7,20
Student03937,Economics and Politics (MA Hons) (Year 3),1,28,1
Student03940,Social Anthropology (MA Hons) (Year 3),1,18,11
Student03950,Business Management MA (Hons) (Year 4),2,14,10
Student03960,International Relations (MA Hons) (Year 4),1,20,1
Student03962,Law (LLB Hons) (Year 4),3,9,25
Student03963,Economics with Finance (MA Hons) (Year 4),2,28,2
Student03968,French and English Literature (MA Hons) (Year 4),1,20,1
Student03972,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student03982,Japanese (MA Hons) (Year 4),1,20,10
Student03992,Business with Marketing MA (Hons) (Year 4),3,16,10
Student03997,Intermedia Art BA (Hons) (Year 4),1,31,1
Student04009,Language Education (MSc) - 1 Year (Full-time) (Year 1),20,36,93
Student04020,Education (PhD) (Full-time) (Year 2),4,7,30
Student04023,History and Politics (MA Hons) (Year 4),2,7,11
Student04029,Chinese and Economics MA (Hons) (Year 4),1,19,1
Student04037,Business with Marketing MA (Hons) (Year 4),3,15,10
Student04040,Politics (MA Hons) (Year 4),1,12,10
Student04045,Education (PhD) (Full-time) (Year 3),6,6,10
Student04050,Architecture (MA Hons) (Year 4),2,13,4
Student04060,Astrophysics (MPhys) (Year 4),1,44,1
Student04090,Mathematics (BSc Hons) (Year 4),4,25,15
Student04096,Biomedical Sciences BSc (Hons) (Year 4),1,20,1
Student04104,Architecture (MA Hons) (Year 4),2,17,4
Student04105,French and Spanish (MA Hons) (Year 4),1,21,1
Student04110,Architecture (MA Hons) (Year 4),2,13,4
Student04120,Reproductive Biology BSc (Hons) (Year 4),2,31,4
Student04124,Biomedical Sciences BSc (Hons) (Year 4),1,19,1
Student04127,Geography (MA Hons) (Year 3),1,10,1
Student04129,Economics (MA Hons) (Year 3),1,32,1
Student04132,Mathematics (BSc Hons) (Year 4),2,28,2
Student04138,International Relations (MA Hons) (Year 3),4,18,31
Student04153,International Relations (MA Hons) (Year 4),1,20,1
Student04173,Business with Marketing MA (Hons) (Year 4),3,16,10
Student04191,Geography (MA Hons) (Year 4),1,9,5
Student04193,Reproductive Biology BSc (Hons) (Year 4),2,26,4
Student04202,Reproductive Biology BSc (Hons) (Year 4),2,38,4
Student04217,Law (LLB Hons) (Year 4),1,8,1
Student04233,Painting BA (Hons) (Year 4),1,31,1
Student04237,Geography and Economics (MA Hons) (Year 4),1,12,1
Student04243,Geography (BSc Hons) (Year 4),1,14,1
Student04273,Politics (MA Hons) (Year 4),2,9,11
Student04275,Reproductive Biology BSc (Hons) (Year 4),2,26,4
Student04279,Geography (MA Hons) (Year 4),1,8,5
Student04286,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),1,9,11
Student04288,Law (LLB Hons) (Year 4),3,7,25
Student04300,History and Politics (MA Hons) (Year 4),2,6,11
Student04302,Architecture (MA Hons) (Year 4),2,14,4
Student04311,Architecture (MA Hons) (Year 3),1,14,1
Student04321,Economics (MA Hons) (Year 3),1,28,1
Student04334,Applied Sport Science (BSc Hons) (Year 3),30,55,172
Student04337,Economics (MA Hons) (Year 3),1,37,1
Student04340,Psychology and Linguistics (MA Hons) (Year 4),1,15,11
Student04342,Architecture (MA Hons) (Year 4),2,13,4
Student04343,Economics with Finance (MA Hons) (Year 3),1,29,1
Student04357,Law and International Relations (LLB Hons) (Year 4),2,10,20
Student04361,Social Policy and Politics (MA Hons) (Year 4),1,7,3
Student04370,Law (LLB Hons) (Year 4),1,5,1
Student04382,French and German (MA Hons) (Year 4),1,20,1
Student04392,French and German (MA Hons) (Year 4),1,23,1
Student04399,International Relations (MA Hons) (Year 4),1,11,3
Student04414,History and Politics (MA Hons) (Year 3),1,21,1
Student04438,Painting BA (Hons) (Year 3),3,40,11
Student04448,Law (LLB Hons) (Year 4),1,9,1
Student04457,Architecture (MA Hons) (Year 4),2,19,4
Student04458,Japanese (MA Hons) (Year 4),1,20,10
Student04473,"Politics, Philosophy and Economics MA (Hons) (Year 4)",2,7,20
Student04477,Music (BMus) (Year 2),1,17,11
Student04484,Classical Archaeology and Ancient History MA (Hons) (Year 4),1,13,1
Student04512,Physical Activity for Health (BMedSci Hons) (Year 3),11,14,53
Student04546,Medicine (Pre-Clinical) (MBChB) (Year 2),2,163,2
Student04557,Economics and Mathematics (MA Hons) (Year 4),2,34,2
Student04558,History and Politics (MA Hons) (Year 4),1,10,10
Student04577,Architecture (MA Hons) (Year 4),2,16,4
Student04586,Philosophy and Economics (MA Hons) (Year 3),1,24,1
Student04587,Economics with Management Science (MA Hons) (Year 4),1,36,1
Student04602,Physical Education MA (Hons) (Year 1),45,84,161
Student04624,Geography (MA Hons) (Year 3),1,25,1
Student04628,Economics and Politics (MA Hons) (Year 3),1,18,1
Student04638,Sport and Recreation Management (BSc Hons) (Year 4),15,17,68
Student04666,Business with Marketing MA (Hons) (Year 4),3,15,10
Student04668,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student04677,Economics with Finance (MA Hons) (Year 3),1,34,1
Student04679,Social Anthropology and Politics (MA Hons) (Year 4),1,7,11
Student04704,Economics with Finance (MA Hons) (Year 3),1,32,1
Student04707,Business Management MA (Hons) (Year 4),2,24,10
Student04726,Geography (MA Hons) (Year 3),1,20,1
Student04734,Architecture (MA Hons) (Year 4),2,15,4
Student04736,Geography and Politics (MA Hons) (Year 4),1,15,1
Student04737,Music (BMus) (Year 2),1,18,11
Student04738,Architecture (MA Hons) (Year 4),2,13,4
Student04746,Social Anthropology and Politics (MA Hons) (Year 4),3,12,31
Student04753,Anthropology and Sociology of Medicine (BMedSci Hons) - 1 Year (Intercalation) (Year 3),3,12,31
Student04768,French and Classics (MA Hons) (Year 4),1,26,1
Student04774,Economics (MA Hons) (Year 3),1,33,1
Student04778,Economics and Politics (MA Hons) (Year 4),1,23,1
Student04804,Architecture (MA Hons) (Year 4),2,15,4
Student04809,Law and Spanish (LLB Hons) (Year 4),1,18,1
Student04830,Social Anthropology (MA Hons) (Year 4),1,9,11
Student04835,Applied Sport Science (BSc Hons) (Year 4),12,17,58
Student04866,Intermedia Art BA (Hons) (Year 4),1,31,1
Student04885,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student04886,Politics (MA Hons) (Year 4),1,12,10
Student04888,Anthropology and Sociology of Medicine (BMedSci Hons) - 1 Year (Intercalation) (Year 3),2,9,22
Student04891,Architecture (MA Hons) (Year 4),2,14,4
Student04894,Law (LLB Hons) (Year 4),3,7,25
Student04902,Architecture (MA Hons) (Year 4),2,15,4
Student04917,Geography (MA Hons) (Year 3),1,11,1
Student04983,Intermedia Art BA (Hons) (Year 3),2,40,10
Student04984,Applied Sport Science (BSc Hons) (Year 2),35,52,112
Student04987,Reproductive Biology (BMedSci Hons) (Year 3),2,24,4
Student04989,International Development (MSc) (Full-time) (Year 1),5,20,19
Student04996,Applied Sport Science (BSc Hons) (Year 4),16,18,71
Student05031,Economics and Statistics (MA Hons) (Year 3),1,28,1
Student05048,"Management of Bioeconomy, Innovation and Governance (MSc) (Full-time) (Year 1)",3,12,20
Student05053,Painting BA (Hons) (Year 4),1,31,1
Student05063,History and Politics (MA Hons) (Year 4),1,15,1
Student05083,Economics and Mathematics (MA Hons) (Year 4),2,24,2
Student05093,Geography (MA Hons) (Year 4),1,9,5
Student05103,Music (BMus) (Year 2),1,16,11
Student05108,Economics (MA Hons) (Year 3),1,33,1
Student05123,Social Policy with Quantitative Methods (MA Hons) (Full-time) (Year 3),1,13,3
Student05136,"Politics, Philosophy and Economics MA (Hons) (Year 3)",1,28,1
Student05143,Economics (MA Hons) (Year 3),1,33,1
Student05145,Architecture (MA Hons) (Year 4),2,13,4
Student05149,Philosophy and Psychology (MA Hons) (Year 4),1,9,11
Student05158,Politics (MA Hons) (Year 3),3,15,11
Student05173,Law (LLB Hons) (Year 4),1,8,1
Student05175,History (MA Hons) (Year 3),2,12,10
Student05227,Reproductive Biology BSc (Hons) (Year 4),2,38,4
Student05259,Biomedical Sciences BSc (Hons) (Year 4),1,35,1
Student05269,French and History (MA Hons) (Year 4),1,18,1
Student05279,Sport and Recreation Management (BSc Hons) (Year 4),14,17,68
Student05283,Painting BA (Hons) (Year 4),1,31,1
Student05298,French (MA Hons) (Year 4),1,15,1
Student05338,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),1,10,11
Student05345,Japanese (MA Hons) (Year 4),1,20,10
Student05350,"Government, Policy and Society MA(Hons) (Year 3)",1,11,11
Student05358,Social Policy and Sociology (MA Hons) (Year 4),1,5,11
Student05360,Japanese (MA Hons) (Year 4),1,20,10
Student05364,Biomedical Sciences BSc (Hons) (Year 4),1,22,1
Student05377,Social Anthropology and Politics (MA Hons) (Year 4),2,11,22
Student05378,International Business with French MA (Hons) (Year 4),2,15,10
Student05386,History and Politics (MA Hons) (Year 4),1,6,3
Student05406,Chinese (MA Hons) (Year 4),1,18,10
Student05408,Economics with Management Science (MA Hons) (Year 4),2,25,10
Student05434,International Relations (MA Hons) (Year 4),1,17,1
Student05447,Reproductive Biology BSc (Hons) (Year 4),2,38,4
Student05452,Geography and Politics (MA Hons) (Year 3),1,10,1
Student05454,Reproductive Biology BSc (Hons) (Year 4),2,31,4
Student05463,Geography (MA Hons) (Year 3),1,24,1
Student05468,Architecture (MA Hons) (Year 4),2,17,4
Student05472,Economics (MA Hons) (Year 3),1,28,1
Student05473,Applied Sport Science (BSc Hons) (Year 4),17,20,73
Student05478,International Business (MA Hons) (Year 4),2,14,10
Student05503,Photography BA (Hons) (Year 4),1,31,1
Student05511,Architecture (MA Hons) (Year 4),2,13,4
Student05520,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student05528,History and Politics (MA Hons) (Year 4),1,18,1
Student05546,Architecture (MA Hons) (Year 4),2,15,4
Student05571,Architecture (MA Hons) (Year 4),2,16,4
Student05574,Architecture (MA Hons) (Year 4),2,17,4
Student05590,Economics (MA Hons) (Year 3),1,28,1
Student05608,Psychology and Linguistics (MA Hons) (Year 4),1,9,11
Student05613,International Relations (MA Hons) (Year 4),1,10,3
Student05622,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),1,8,11
Student05628,Social Anthropology (MA Hons) (Year 4),2,11,20
Student05663,Architecture (MA Hons) (Year 4),2,15,4
Student05664,Nursing (BN) (Year 4),4,20,7
Student05667,Accounting and Business MA (Hons) (Year 4),2,13,10
Student05668,Applied Sport Science (BSc Hons) (Year 3),30,55,172
Student05680,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),1,9,11
Student05683,Linguistics and Social Anthropology (MA Hons) (Year 3),1,20,11
Student05686,French and Business MA (Hons) (Year 4),2,18,10
Student05693,Painting BA (Hons) (Year 4),1,31,1
Student05694,Business with Marketing MA (Hons) (Year 4),5,16,20
Student05699,Nursing (BN) (Year 4),4,18,7
Student05701,Chinese and Economics MA (Hons) (Year 4),1,32,1
Student05708,Business Management MA (Hons) (Year 3),2,21,10
Student05710,Architecture (MA Hons) (Year 4),2,14,4
Student05713,"Interior, Architectural and Spatial Design (MA (eca)) - 1 Year (Full-Time) (Year 1)",1,19,5
Student05716,Economics (MA Hons) (Year 3),1,32,1
Student05717,Mathematics and Business BSc (Hons) (Year 4),2,26,10
Student05724,Classical Art and Archaeology (MSc) (Full-time) (Year 1),1,18,1
Student05733,Social Anthropology and Politics (MA Hons) (Year 4),1,11,11
Student05737,Geography and Economics (MA Hons) (Year 4),1,24,1
Student05744,Sport and Recreation Management (BSc Hons) (Year 4),14,16,68
Student05745,Economics (MA Hons) (Year 3),1,33,1
Student05758,Biomedical Sciences BSc (Hons) (Year 4),2,27,2
Student05762,Architecture (MA Hons) (Year 4),2,13,4
Student05763,Philosophy and Politics (MA Hons) (Year 4),2,9,20
Student05764,Economics with Finance (MA Hons) (Year 4),2,25,2
Student05765,Business Management MA (Hons) (Year 3),2,18,10
Student05772,Medicine (Pre-Clinical) (MBChB) (Year 1),3,199,6
Student05774,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student05777,Physical Education MA (Hons) (Year 4),29,33,29
Student05778,Sociology (MA Hons) (Year 4),1,7,3
Student05779,Teaching English to Speakers of Other Languages (MSc) (Full-time) (Year 4),6,19,51
Student05782,Sustainable Development (Politics and International Relations) MA (Hons) - 4 Years (Full-Time) (Year 3),2,10,20
Student05785,Business Management MA (Hons) (Year 4),2,18,10
Student05786,Social Anthropology (MA Hons) (Year 4),2,11,20
Student05789,Health in Social Science MA(Hons) - 4 Years (Full-Time (Year 4),3,11,11
Student05791,Health in Social Science MA(Hons) - 4 Years (Full-Time (Year 4),3,18,11
Student05806,Physical Education MA (Hons) (Year 4),29,33,29
Student05809,Law MA (Hons) (Year 4),1,12,1
Student05816,Business Management MA (Hons) (Year 4),2,17,10
Student05817,"Government, Policy and Society MA(Hons) (Year 4)",1,7,11
Student05818,Architecture (MA Hons) (Year 4),2,14,4
Student05821,Architecture (MA Hons) (Year 4),2,17,4
Student05829,Law (LLB Hons) (Year 4),1,10,1
Student05838,Architecture (MA Hons) (Year 4),2,14,4
Student05843,Economics and Mathematics (MA Hons) (Year 4),2,33,2
Student05846,Business with Marketing MA (Hons) (Year 4),3,16,10
Student05857,Business Management MA (Hons) (Year 4),2,17,10
Student05868,Primary Education PGDE (Year 1),2,4,2
Student05871,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student05872,Economics (MA Hons) (Year 3),1,33,1
Student05885,Geography (MA Hons) (Year 4),1,9,5
Student05889,Social Anthropology (MA Hons) (Year 3),2,15,22
Student05893,Environmental Geoscience (BSc Hons) (Year 4),1,15,1
Student05895,Biomedical Sciences BSc (Hons) (Year 4),1,19,1
Student05903,Social Anthropology (MA Hons) (Year 4),3,11,31
Student05904,Nursing (BN) (Year 4),4,19,7
Student05909,Law (LLB Hons) (Year 4),3,8,25
Student05919,Architecture (MA Hons) (Year 4),2,13,4
Student05922,History and Economics MA (Hons) (Year 3),1,25,1
Student05940,Business Management MA (Hons) (Year 4),5,15,20
Student05948,Geology and Physical Geography (BSc Hons) (Year 4),1,8,1
Student05949,Economics (MA Hons) (Year 3),1,32,1
Student05951,Economics with Finance (MA Hons) (Year 3),1,33,1
Student05957,Economics with Finance (MA Hons) (Year 3),1,35,1
Student05969,History and Economics MA (Hons) (Year 3),1,25,1
Student05980,Physical Education MA (Hons) (Year 4),29,33,29
Student05982,Japanese (MA Hons) (Year 4),1,21,10
Student05998,International Business with Spanish MA (Hons) (Year 4),2,15,10
Student06002,Painting BA (Hons) (Year 4),1,31,1
Student06005,Economics and Mathematics (MA Hons) (Year 4),2,35,2
Student06015,International Business (MA Hons) (Year 4),3,14,10
Student06021,International Business (MA Hons) (Year 4),2,14,10
Student06024,Geography and Economics (MA Hons) (Year 3),1,16,1
Student06028,Applied Sport Science (BSc Hons) (Year 3),1,1,1
Student06029,Sociology and Psychology (MA Hons) (Year 4),1,11,3
Student06033,Law and International Relations (LLB Hons) (Year 4),1,18,1
Student06034,Business Management MA (Hons) (Year 4),2,16,10
Student06035,Architecture (MA Hons) (Year 4),2,15,4
Student06037,Finance and Business MA (Hons) (Year 4),2,16,10
Student06038,Religious Studies (MA Hons) (Year 4),1,8,3
Student06050,Sport and Recreation Management (BSc Hons) (Year 4),16,18,68
Student06055,Astrophysics (MPhys) (Year 4),1,43,1
Student06065,Applied Sport Science (BSc Hons) (Year 4),14,15,73
Student06069,Politics (MA Hons) (Year 4),1,11,10
Student06075,Architecture (MA Hons) (Year 4),2,14,4
Student06081,Sociology (MA Hons) (Year 4),2,10,14
Student06084,Architecture (MA Hons) (Year 3),1,14,1
Student06085,Business with Marketing MA (Hons) (Year 4),3,18,10
Student06088,Biomedical Sciences BSc (Hons) (Year 4),2,35,2
Student06089,Reproductive Biology BSc (Hons) (Year 4),2,25,4
Student06092,French (MA Hons) (Year 4),1,16,1
Student06093,Architecture (MA Hons) (Year 4),2,15,4
Student06096,Economics and Politics (MA Hons) (Year 3),1,26,1
Student06101,Archaeology and Social Anthropology (MA Hons) (Year 4),1,8,11
Student06103,Economics with Finance (MA Hons) (Year 3),1,33,1
Student06107,Architecture (MA Hons) (Year 4),2,13,4
Student06109,Architecture (MA Hons) (Year 4),2,17,4
Student06124,Architecture (MA Hons) (Year 4),2,13,4
Student06134,Reproductive Biology BSc (Hons) (Year 4),2,25,4
Student06142,Business Management MA (Hons) (Year 4),2,14,10
Student06145,Business Management MA (Hons) (Year 4),2,16,10
Student06146,Business with Marketing MA (Hons) (Year 4),3,16,10
Student06150,Geology and Physical Geography (MEarthSci) (Year 3),1,30,1
Student06156,Applied Sport Science (BSc Hons) (Year 4),16,18,71
Student06158,Business Management MA (Hons) (Year 4),2,14,10
Student06184,Psychology and Business MA (Hons) (Year 4),4,11,21
Student06200,History (MA Hons) (Year 3),1,14,3
Student06201,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student06202,Politics (MA Hons) (Year 3),1,23,1
Student06203,Environmental Geoscience (BSc Hons) (Year 4),1,17,1
Student06210,Social Anthropology (MA Hons) (Year 4),1,8,11
Student06213,Architecture (MA Hons) (Year 2),1,18,10
Student06214,Social Anthropology (MA Hons) (Year 4),1,8,11
Student06222,Architecture (BA) (Year 3),1,21,1
Student06226,Social Anthropology (MA Hons) (Year 4),1,13,11
Student06249,Linguistics and Social Anthropology (MA Hons) (Year 4),1,8,11
Student06252,Sociology (MA Hons) (Year 4),2,9,20
Student06253,Chinese (MA Hons) (Year 4),1,20,10
Student06277,Film and Television (BA Hons) (Year 3),1,34,1
Student06279,Law and Economics (LLB Hons) (Year 4),1,12,1
Student06284,Applied Sport Science (BSc Hons) (Year 4),20,24,79
Student06285,French and Business MA (Hons) (Year 4),2,29,10
Student06289,"Arts, Humanities and Social Science (BA) (AHSS) (PPL) - (Full-time) (Year 3)",1,21,2
Student06290,Architecture (BA) (Year 3),1,18,1
Student06292,Sport Management (BSc Hons) (Year 3),12,16,99
Student06297,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student06301,Sociology and Psychology (MA Hons) (Year 4),1,7,11
Student06303,Applied Sport Science (BSc Hons) (Year 4),12,17,58
Student06308,Reproductive Biology BSc (Hons) (Year 4),2,26,4
Student06313,Architecture (MA Hons) (Year 4),2,13,4
Student06316,Computer Science (BEng Hons) (Year 2),1,42,1
Student06321,Business and Economics MA (Hons) (Year 4),2,15,10
Student06324,Intermedia Art BA (Hons) (Year 4),1,31,1
Student06335,French and Politics (MA Hons) (Year 4),1,16,10
Student06336,Biomedical Sciences BSc (Hons) (Year 4),2,28,2
Student06349,Applied Sport Science (BSc Hons) (Year 4),21,35,61
Student06357,Architecture (MA Hons) (Year 4),2,14,4
Student06369,Economics and Mathematics (MA Hons) (Year 4),2,36,2
Student06372,Law (LLB Hons) (Year 4),3,7,25
Student06381,Software Engineering (BEng Hons) (Year 2),1,46,1
Student06384,Chinese and Economics MA (Hons) (Year 4),1,35,1
Student06386,Social Anthropology (MA Hons) (Year 3),2,14,22
Student06387,French and Philosophy (MA Hons) (Year 4),1,18,1
Student06391,Applied Sport Science (BSc Hons) (Year 4),20,24,78
Student06393,Business Management MA (Hons) (Year 4),2,13,10
Student06397,Nursing (BN) (Year 4),4,18,7
Student06411,Architecture (MA Hons) (Year 3),1,14,1
Student06417,Economics with Finance (MA Hons) (Year 3),1,32,1
Student06421,Sport and Recreation Management (BSc Hons) (Year 4),15,17,68
Student06428,Economics with Management Science (MA Hons) (Year 4),2,26,10
Student06430,Geology and Physical Geography (BSc Hons) (Year 4),1,16,1
Student06438,Nursing (BN) (Year 4),4,20,7
Student06443,International Relations and International Law (MA Hons) (Year 4),1,8,1
Student06462,Applied Sport Science (BSc Hons) (Year 4),18,26,62
Student06480,Business Management MA (Hons) (Year 4),3,18,10
Student06485,Social Policy and Sociology (MA Hons) (Year 4),1,10,11
Student06494,Biomedical Sciences BSc (Hons) (Year 4),1,23,1
Student06504,Sport and Recreation Management (BSc Hons) (Year 4),16,18,68
Student06508,Business Management MA (Hons) (Year 3),2,32,10
Student06514,Architecture (MA Hons) (Year 4),2,14,4
Student06515,International Relations (MA Hons) (Year 3),1,10,3
Student06520,Architecture (MA Hons) (Year 4),2,14,4
Student06522,Architecture (MA Hons) (Year 4),2,15,4
Student06527,Business Management MA (Hons) (Year 4),2,13,10
Student06528,Sociology and Psychology (MA Hons) (Year 4),1,10,3
Student06530,Painting BA (Hons) (Year 4),1,31,1
Student06535,Reproductive Biology BSc (Hons) (Year 4),2,38,4
Student06539,Nursing (BN) (Year 4),4,18,7
Student06540,Global Health Policy (MSc) - 2 Years (Part-time) (Year 2),1,13,11
Student06560,Music (BMus) (Year 2),1,15,11
Student06566,Sociology (MA Hons) (Year 4),1,9,3
Student06568,Sport and Recreation Management (BSc Hons) (Year 4),16,18,68
Student06573,Physical Education MA (Hons) (Year 2),23,51,74
Student06576,Ancient History (MA Hons) (Year 4),1,12,1
Student06589,Applied Sport Science (BSc Hons) (Year 4),21,30,66
Student06590,Psychology and Business MA (Hons) (Year 4),4,11,21
Student06591,Applied Sport Science (BSc Hons) (Year 4),21,30,66
Student06592,Applied Sport Science (BSc Hons) (Year 4),22,32,69
Student06595,Business Management MA (Hons) (Year 4),2,17,10
Student06602,Sociology (MA Hons) (Year 4),1,8,3
Student06614,Social Anthropology (MA Hons) (Year 4),2,11,20
Student06621,Business Management MA (Hons) (Year 3),3,26,10
Student06626,Economics with Finance (MA Hons) (Year 3),1,35,1
Student06629,International Business (MA Hons) (Year 4),2,14,10
Student06634,Economics and Statistics (MA Hons) (Year 4),2,24,2
Student06635,Physical Education MA (Hons) (Year 4),29,33,29
Student06639,"Government, Policy and Society MA(Hons) (Year 4)",1,6,11
Student06641,Applied Sport Science (BSc Hons) (Year 4),22,32,69
Student06642,Mathematics and Statistics (BSc Hons) (Year 4),1,26,10
Student06644,International Business with Chinese MA (Hons) (Year 4),2,17,10
Student06659,Architecture (MA Hons) (Year 4),2,17,4
Student06671,Biomedical Sciences BSc (Hons) (Year 4),1,35,1
Student06672,Architecture (MA Hons) (Year 4),2,15,4
Student06673,Sport and Recreation Management (BSc Hons) (Year 4),14,16,68
Student06679,Nursing (BN) (Year 4),4,18,7
Student06685,History and Politics (MA Hons) (Year 4),1,18,1
Student06686,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),2,23,6
Student06687,Social Anthropology (MA Hons) (Year 4),1,12,11
Student06690,Education Studies (MA Hons) (Year 4),34,41,47
Student06691,Biomedical Sciences BSc (Hons) (Year 4),1,19,1
Student06698,Landscape Architecture (MA Hons) (Year 4),1,25,8
Student06700,Architecture (MA Hons) (Year 4),2,14,4
Student06701,International Business (MA Hons) (Year 4),2,13,10
Student06702,Architecture (MA Hons) (Year 4),2,13,4
Student06709,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),1,11,11
Student06710,Business with Strategic Economics MA (Hons) (Year 4),2,14,10
Student06714,Business Management MA (Hons) (Year 3),2,32,10
Student06715,Architecture (MA Hons) (Year 4),2,13,4
Student06720,Business Management MA (Hons) (Year 4),2,14,10
Student06731,Physical Education MA (Hons) (Year 4),29,33,29
Student06740,Chinese (MA Hons) (Year 4),1,20,10
Student06741,Law (LLB Hons) (Year 3),1,29,1
Student06746,Applied Sport Science (BSc Hons) (Year 4),17,20,74
Student06748,Sculpture BA (Hons) (Year 4),1,31,1
Student06759,Law (LLB Hons) (Year 4),3,8,25
Student06762,Applied Sport Science (BSc Hons) (Year 4),20,24,79
Student06764,Arabic and Politics (MA Hons) (Year 4),1,30,1
Student06775,Physical Education MA (Hons) (Year 4),29,33,29
Student06778,Sociology (MA Hons) (Year 4),1,7,3
Student06789,Physical Education MA (Hons) (Year 4),29,33,29
Student06792,Sustainable Development (Sociology) MA (Hons) - 4 Years (Full-Time) (Year 4),1,10,3
Student06801,Sustainable Development (Geography) MA (Hons) - 4 Years (Full-Time) (Year 3),1,30,1
Student06802,Business and Geography MA (Hons) (Year 4),4,13,15
Student06806,Biomedical Sciences BSc (Hons) (Year 4),1,19,1
