Campus,Rooms,MeanFrequency,MeanOccupancy,MeanUtilization
Central,232,0.25619810222086437,0.7639207131494882,0.20385830435870958
Holyrood,69,0.18247976926755485,0.7905775912213071,0.14414153548901487
Kings Buildings,52,0.22689527133971582,0.6677213949046703,0.14747654636188628
Easter Bush,16,0.08017499069791917,1.9715997508521588,0.08530908763481915
Bioquarter,12,0.11675282660199028,1.1628014198095094,0.11406319944596076
New College,8,0.23249499499499499,0.679425534193175,0.15374064708996968
Lauriston,6,0.1952022197636231,0.5168926279974935,0.1270861592527921
Western General,2,0.0009820426487093155,0.5674603174603174,0.0004516060071615627
