Event Type,Count
Workshop,612
Activity,561
Lecture,434
Seminar,258
Tutorial,225
Breakout,192
Discussion Workshop,96
Lecture_&_Workshops,47
Seminar set 1,31
Groupwork,23
Oral Presentation,23
Presentation,21
Practical,20
Other,20
EXAM,10
Meeting,5
Jointly Taught Seminar,5
Seminar set 3,4
Feedback,3
Fieldwork,2
Q&A Session,2
Self Study,1
Seminar set 2,1
Laboratory,1
Class Test,1
Computer Workshop,1
