Hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
8,2,0,0,0,0,0
9,512,553,570,567,526,1
10,267,408,409,493,348,0
11,364,482,602,566,405,6
12,204,244,305,314,251,0
13,274,304,265,350,233,0
14,509,569,328,608,458,0
15,313,333,183,329,288,0
16,310,308,146,291,151,0
17,115,118,56,110,40,0
18,47,16,14,12,0,0
19,0,0,0,2,0,0
