Hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,1,1,2,2,0,5
8,0,7,11,0,3,0
9,117,135,111,96,86,3
10,87,146,90,152,67,3
11,75,82,76,94,26,0
12,38,33,9,27,6,0
13,83,88,66,118,18,0
14,170,126,39,112,32,0
15,31,19,19,26,16,0
16,27,26,2,72,4,0
17,40,33,29,14,0,0
18,10,22,19,55,0,0
19,29,18,25,25,0,0
