Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0227_02_2.30,Central,10,Boardroom Style,0.15450450450450445,0.928125,0.1433994932432432
0227_02_2.39,Central,18,Boardroom Style,0.43373373373373375,0.7646604938271605,0.331659051026335
0227_02_2.54,Central,18,Boardroom Style,0.40550550550550546,0.7600644122383252,0.308210303701447
0227_03_3.03,Central,18,Boardroom Style,0.43023023023023016,0.7759856630824373,0.33385249048331483
0227_03_3.13,Central,10,Boardroom Style,0.07657657657657657,0.7880000000000001,0.06034234234234235
0227_03_3.14,Central,15,Boardroom Style,0.3472472472472471,0.9244444444444444,0.32101078856634396
0227_03_3.29,Central,15,Boardroom Style,0.31051051051051043,0.897979797979798,0.2788321654988321
0227_03_3.30,Central,10,Boardroom Style,0.09129129129129131,0.7941176470588236,0.07249602543720193
0227_03_3.39,Central,18,Boardroom Style,0.3921921921921922,0.7626262626262627,0.29909606576273245
0227_03_3.54,Central,18,Boardroom Style,0.4312312312312312,0.742566510172144,0.32021787045261224
0209_01_1.21,Central,125,Lecture Theatre,0.3288288288288289,0.6779016393442622,0.2229136021267169
0209_02_2.01,Central,70,Classroom Style,0.3553553553553553,0.5724789915966386,0.20343347549229898
0209_02_2.37,Central,30,Classroom Style,0.3747747747747747,0.7955555555555556,0.29815415415415414
0003_00_G.01,Central,20,Classroom Style,0.3353353353353354,0.9583333333333334,0.3213630296963631
0003_00_G.02,Central,24,Classroom Style,0.21896896896896895,0.8018867924528303,0.17558832417322984
0003_00_G.03,Central,18,Classroom Style,0.3043043043043043,0.9370915032679737,0.2851609779714354
0003_00_G.04,Central,12,Boardroom Style,0.17217217217217218,0.980072463768116,0.16874120497308903
0003_01_1.01,Central,23,Classroom Style,0.26606606606606603,0.8390379278445884,0.2232395207418334
0003_01_1.02,Central,24,Classroom Style,0.22622622622622626,0.775568181818182,0.17545386295386303
0003_01_1.03,Central,24,Classroom Style,0.24684684684684682,0.7687074829931974,0.1897530183244469
